time,x,y,z,qx,qy,qz,qw,j0,j1,j2,j3,j4,j5,j6
1535249857.630961046,-0.148749,-0.440324,0.281429,0.161746,-0.332273,0.845754,-0.384881,-1.41945,-1.08216,1.77035,-0.637739,-1.05666,-1.74759,-0.429721
1535249857.651277043,-0.146606,-0.440468,0.284257,0.162807,-0.332511,0.844808,-0.386303,-1.42471,-1.07567,1.77132,-0.639162,-1.0549,-1.7524,-0.426949
1535249857.671594815,-0.14444,-0.440585,0.287107,0.163867,-0.332742,0.843859,-0.387728,-1.43002,-1.06911,1.77229,-0.640598,-1.05313,-1.75725,-0.42415
1535249857.692014992,-0.142255,-0.440675,0.289978,0.164926,-0.332965,0.842907,-0.389155,-1.43538,-1.0625,1.77328,-0.642047,-1.05134,-1.76215,-0.421328
1535249857.712371898,-0.140051,-0.440737,0.292865,0.165981,-0.333179,0.841955,-0.390581,-1.44078,-1.05584,1.77427,-0.643507,-1.04954,-1.76708,-0.418484
1535249857.732993287,-0.137833,-0.44077,0.295765,0.167032,-0.333385,0.841003,-0.392006,-1.44621,-1.04913,1.77526,-0.644976,-1.04773,-1.77205,-0.415621
1535249857.753075409,-0.135603,-0.440774,0.298676,0.168078,-0.333582,0.840052,-0.393429,-1.45168,-1.04239,1.77627,-0.646454,-1.04591,-1.77704,-0.412742
1535249857.773337178,-0.133362,-0.440749,0.301595,0.169115,-0.333769,0.839103,-0.394846,-1.45717,-1.03561,1.77727,-0.647938,-1.04408,-1.78206,-0.409851
1535249857.795415180,-0.131114,-0.440694,0.304517,0.170145,-0.333946,0.838158,-0.396259,-1.46267,-1.02882,1.77828,-0.649427,-1.04224,-1.78709,-0.40695
1535249857.813775025,-0.128861,-0.440608,0.307441,0.171165,-0.334113,0.837218,-0.397664,-1.46819,-1.022,1.7793,-0.65092,-1.0404,-1.79213,-0.404041
1535249857.834271325,-0.126606,-0.440493,0.310363,0.172174,-0.33427,0.836283,-0.399061,-1.47372,-1.01518,1.78031,-0.652415,-1.03855,-1.79719,-0.401128
1535249857.854667410,-0.124351,-0.440347,0.31328,0.17317,-0.334416,0.835355,-0.400449,-1.47926,-1.00835,1.78133,-0.653911,-1.03671,-1.80224,-0.398214
1535249857.875010142,-0.1221,-0.440172,0.316189,0.174154,-0.334552,0.834434,-0.401827,-1.48479,-1.00153,1.78234,-0.655406,-1.03486,-1.8073,-0.395301
1535249857.897565758,-0.119854,-0.439967,0.319088,0.175123,-0.334677,0.833522,-0.403193,-1.49031,-0.994713,1.78335,-0.656899,-1.03302,-1.81234,-0.392392
1535249857.915964047,-0.117615,-0.439732,0.321972,0.176078,-0.334791,0.832619,-0.404546,-1.49581,-0.987916,1.78436,-0.658388,-1.03118,-1.81737,-0.389491
1535249857.935797683,-0.115388,-0.43947,0.32484,0.177016,-0.334894,0.831727,-0.405885,-1.5013,-0.981142,1.78537,-0.659873,-1.02935,-1.82239,-0.3866
1535249857.956305092,-0.113174,-0.439179,0.327688,0.177937,-0.334986,0.830845,-0.407209,-1.50677,-0.974399,1.78637,-0.66135,-1.02753,-1.82738,-0.383721
1535249857.976870532,-0.110975,-0.438861,0.330514,0.17884,-0.335068,0.829975,-0.408518,-1.5122,-0.967692,1.78737,-0.662819,-1.02572,-1.83235,-0.380859
1535249857.997275735,-0.108795,-0.438517,0.333314,0.179725,-0.335138,0.829118,-0.40981,-1.5176,-0.961029,1.78836,-0.664279,-1.02392,-1.83728,-0.378014
1535249858.020344838,-0.106635,-0.438148,0.336087,0.18059,-0.335199,0.828274,-0.411085,-1.52296,-0.954416,1.78934,-0.665728,-1.02213,-1.84218,-0.375192
1535249858.039006416,-0.104498,-0.437754,0.338828,0.181436,-0.335249,0.827445,-0.412341,-1.52827,-0.94786,1.79032,-0.667165,-1.02036,-1.84703,-0.372393
1535249858.058473695,-0.102385,-0.437338,0.341537,0.182261,-0.335288,0.82663,-0.413577,-1.53353,-0.941367,1.79128,-0.668587,-1.0186,-1.85184,-0.369621
1535249858.079813393,-0.100301,-0.4369,0.344209,0.183065,-0.335318,0.82583,-0.414794,-1.53874,-0.934943,1.79224,-0.669995,-1.01687,-1.8566,-0.366879
1535249858.100223741,-0.0982456,-0.436442,0.346844,0.183847,-0.335339,0.825046,-0.415989,-1.54388,-0.928595,1.79318,-0.671385,-1.01515,-1.8613,-0.36417
1535249858.119566111,-0.0962221,-0.435965,0.349437,0.184607,-0.33535,0.824279,-0.417163,-1.54896,-0.922329,1.79411,-0.672758,-1.01346,-1.86594,-0.361495
1535249858.140138234,-0.0942323,-0.43547,0.351987,0.185345,-0.335353,0.823529,-0.418314,-1.55396,-0.916151,1.79503,-0.674112,-1.01179,-1.87051,-0.358858
1535249858.161855162,-0.0922783,-0.434961,0.354492,0.186061,-0.335347,0.822796,-0.419442,-1.55889,-0.910068,1.79594,-0.675445,-1.01014,-1.87502,-0.356261
1535249858.181654703,-0.0903618,-0.434437,0.356949,0.186754,-0.335332,0.822081,-0.420546,-1.56374,-0.904085,1.79683,-0.676755,-1.00852,-1.87945,-0.353708
1535249858.203642610,-0.0884849,-0.433901,0.359356,0.187423,-0.335311,0.821384,-0.421625,-1.5685,-0.898208,1.7977,-0.678043,-1.00694,-1.8838,-0.351199
1535249858.221549637,-0.0866492,-0.433355,0.36171,0.18807,-0.335282,0.820706,-0.42268,-1.57317,-0.892444,1.79856,-0.679306,-1.00538,-1.88807,-0.348739
1535249858.241919170,-0.0848564,-0.4328,0.364011,0.188693,-0.335246,0.820047,-0.423708,-1.57775,-0.886797,1.7994,-0.680543,-1.00385,-1.89225,-0.346328
1535249858.264435487,-0.0831081,-0.432239,0.366256,0.189293,-0.335205,0.819407,-0.42471,-1.58222,-0.881273,1.80022,-0.681753,-1.00236,-1.89634,-0.34397
1535249858.283079056,-0.0814059,-0.431673,0.368443,0.18987,-0.335157,0.818787,-0.425684,-1.5866,-0.875879,1.80102,-0.682935,-1.0009,-1.90033,-0.341668
1535249858.303866372,-0.0797512,-0.431103,0.37057,0.190424,-0.335105,0.818187,-0.426631,-1.59086,-0.870618,1.8018,-0.684088,-0.999478,-1.90423,-0.339422
1535249858.324165234,-0.0781455,-0.430533,0.372635,0.190954,-0.335048,0.817606,-0.42755,-1.59501,-0.865497,1.80256,-0.68521,-0.998093,-1.90802,-0.337236
1535249858.344020276,-0.0765899,-0.429964,0.374638,0.191462,-0.334987,0.817047,-0.42844,-1.59904,-0.86052,1.8033,-0.686301,-0.996748,-1.91171,-0.335112
1535249858.364590196,-0.0750858,-0.429398,0.376575,0.191947,-0.334923,0.816508,-0.4293,-1.60295,-0.855692,1.80402,-0.687358,-0.995443,-1.91528,-0.333051
1535249858.384472364,-0.0736342,-0.428837,0.378447,0.192409,-0.334855,0.815989,-0.430131,-1.60674,-0.851018,1.80472,-0.688382,-0.99418,-1.91874,-0.331056
1535249858.404348549,-0.0722363,-0.428282,0.38025,0.192848,-0.334786,0.815492,-0.430931,-1.6104,-0.846503,1.80539,-0.689371,-0.992959,-1.92209,-0.329129
1535249858.424441035,-0.0708931,-0.427736,0.381985,0.193266,-0.334714,0.815015,-0.4317,-1.61392,-0.842151,1.80604,-0.690325,-0.991783,-1.92531,-0.327271
1535249858.446625809,-0.0696056,-0.427201,0.383649,0.193662,-0.334642,0.81456,-0.432437,-1.61732,-0.837966,1.80666,-0.691242,-0.990652,-1.92841,-0.325485
1535249858.465286827,-0.0683745,-0.426677,0.385242,0.194036,-0.334568,0.814126,-0.433143,-1.62057,-0.833953,1.80725,-0.692121,-0.989567,-1.93138,-0.323772
1535249858.486458154,-0.0672006,-0.426168,0.386762,0.194389,-0.334495,0.813713,-0.433817,-1.62368,-0.830116,1.80782,-0.692962,-0.98853,-1.93422,-0.322134
